x,y,z,nx,ny,nz
-5.444004,-5.203004,6.794317,0.000000,0.000000,1.000000
4.789421,3.555848,-52.155386,0.773010,0.634393,0.000000
-3.573819,-4.774673,-53.977555,-0.634393,-0.773010,0.000000
-3.171761,8.116669,6.794317,0.000000,0.000000,1.000000
-0.271469,5.960170,-23.219491,-0.098017,0.995185,0.000000
5.805477,-1.386856,-48.703613,0.956940,-0.290284,0.000000
-5.808099,1.378215,-33.686497,-0.956940,0.290284,0.000000
5.750209,1.569052,-27.680895,0.956940,0.290284,-0.000000
4.805277,3.536528,-25.352072,0.773010,0.634393,-0.000000
-9.463531,-1.652461,5.469434,-0.866025,-0.500000,-0.000000
3.032937,5.134656,-23.927925,0.471397,0.881921,-0.000000
-2.592193,-5.370239,-47.374570,-0.471397,-0.881921,0.000000
-4.851880,3.479742,-32.481202,-0.773010,0.634393,0.000000
4.273878,1.669069,0.000000,0.000000,0.000000,-1.000000
-2.058967,3.496077,-57.456791,-0.000000,-0.000000,-1.000000
-5.246083,-2.824472,-32.204750,-0.881921,-0.471397,0.000000
-10.174273,0.421420,5.179782,-0.866025,0.500000,0.000000
-2.402108,-5.471841,-56.850386,-0.471397,-0.881921,0.000000
-5.907630,0.804917,-55.331037,-0.995185,0.098017,0.000000
-5.764867,-1.520732,-37.641930,-0.956940,-0.290284,0.000000
10.391874,0.044523,5.510090,0.866025,0.500000,0.000000
-2.592455,-5.370099,-26.424199,-0.471397,-0.881921,0.000000
-3.363738,-4.947082,-53.556341,-0.634393,-0.773010,0.000000
-2.993240,5.155874,-56.126692,-0.471397,0.881921,0.000000
5.425160,2.489442,-25.570949,0.881921,0.471397,-0.000000
-3.695790,4.674574,-32.381488,-0.634393,0.773010,0.000000
-2.516148,-3.220763,-57.456791,0.000000,-0.000000,-1.000000
-2.317029,5.517317,-33.974516,-0.471397,0.881921,0.000000
4.965321,-1.945654,-21.417036,0.000000,-0.000000,1.000000
5.771732,-1.498102,-21.926501,0.956940,-0.290284,0.000000
-5.699090,-1.737570,-36.861474,-0.956940,-0.290284,0.000000
-0.365901,-9.021889,0.271321,-0.000000,-1.000000,-0.000000
-3.764105,4.618509,-41.489229,-0.634393,0.773010,0.000000
-2.229934,-5.549733,-27.650834,-0.290284,-0.956940,0.000000
-8.127556,3.966437,4.062295,-0.866025,0.500000,0.000000
-3.753909,4.626876,-45.615170,-0.634393,0.773010,0.000000
1.193749,5.864056,-49.287795,0.290284,0.956940,-0.000000
3.930367,4.482062,-44.797222,0.634393,0.773010,0.000000
-4.312346,-4.137166,-44.557163,-0.773010,-0.634393,0.000000
0.315942,5.955790,-40.854673,0.098017,0.995185,-0.000000
-10.016940,-0.693928,2.026830,-0.866025,-0.500000,-0.000000
-4.285873,4.169423,-34.580682,-0.773010,0.634393,0.000000
1.464741,9.021889,5.733108,-0.000000,1.000000,0.000000
1.868903,-5.659250,-23.201687,0.290284,-0.956940,0.000000
-7.165765,5.632309,5.635989,-0.866025,0.500000,0.000000
8.866372,0.125413,6.794317,0.000000,0.000000,1.000000
-4.135919,4.313369,-23.966814,-0.634393,0.773010,0.000000
0.559728,5.931779,-29.520144,0.098017,0.995185,-0.000000
-5.651286,1.895156,-47.297927,-0.956940,0.290284,0.000000
5.301483,-8.861340,2.206442,0.866025,-0.500000,0.000000
4.631997,-3.747669,-29.852230,0.773010,-0.634393,0.000000
-0.275980,-4.667548,6.794317,-0.000000,0.000000,1.000000
-0.634989,-5.924366,-56.856596,-0.098017,-0.995185,0.000000
9.059034,2.108288,6.794317,0.000000,0.000000,1.000000
1.920480,-8.982271,6.794317,-0.000000,0.000000,1.000000
-2.972567,-5.166924,-50.371073,-0.471397,-0.881921,0.000000
5.945820,0.417169,-41.786758,0.995185,0.098017,0.000000
-8.763258,2.865370,5.623497,-0.866025,0.500000,0.000000
4.656447,-3.717878,-37.158147,0.773010,-0.634393,0.000000
