x,y,z,nx,ny,nz
38.091646,0.119565,15.433209,0.471398,0.881920,0.000000
36.147480,0.000000,-10.953152,0.000000,-1.000000,0.000000
34.101803,1.983852,2.674969,-0.980339,0.195001,-0.030175
42.120012,0.470357,-12.197482,-0.634394,0.773010,0.000000
42.866202,1.222258,3.955345,-0.773011,0.634393,0.000000
34.701705,3.523160,7.222118,-0.826524,0.557636,-0.076816
35.294852,0.000000,15.560409,-0.000000,-1.000000,0.000000
36.372354,5.052319,12.664417,0.881921,-0.471397,0.000000
44.002774,4.398034,-8.066167,0.551130,0.832846,-0.051221
36.795636,1.210513,-12.616525,0.773011,0.634393,-0.000000
36.433928,5.262479,-15.765394,0.000000,0.000000,-1.000000
33.756987,0.432481,3.852019,-0.980339,0.195002,-0.030174
34.652758,3.721500,-9.188609,-0.826524,0.557636,0.076816
45.120743,2.444512,10.416064,0.826524,0.557636,0.076815
45.016995,3.222331,-3.515817,0.831198,0.555388,-0.025584
34.767155,0.000000,15.029630,-0.000000,-1.000000,0.000000
44.582745,2.951790,-12.522311,0.826524,0.557636,-0.076815
42.297437,0.615967,-2.795155,-0.634394,0.773010,0.000000
43.208963,1.783734,-14.531467,-0.881921,0.471397,0.000000
44.988298,3.240499,4.053716,0.831197,0.555388,0.025584
43.738976,0.000000,10.632063,0.000000,-1.000000,0.000000
34.228430,0.000000,-9.372899,0.000000,-1.000000,0.000000
42.625770,0.929290,-7.161149,-0.773011,0.634393,0.000000
33.870355,2.078234,-7.156930,-0.976376,0.196102,0.090743
43.592394,3.107691,11.124839,-0.995185,0.098018,0.000000
45.173128,0.017349,-15.032758,0.968286,0.198316,-0.151962
42.126007,0.000000,-1.180915,0.000000,-1.000000,0.000000
36.069610,3.960517,-4.953601,0.995185,-0.098018,0.000000
45.052932,2.673580,9.482798,0.826524,0.557636,0.076815
37.158453,0.000000,4.544933,0.000000,-1.000000,0.000000
33.631215,1.807119,9.144134,-0.976376,0.196102,-0.090743
34.175955,0.000000,11.262202,-0.000000,-1.000000,0.000000
36.215186,5.649961,15.328908,-0.542385,0.835807,-0.085121
44.745105,3.474104,-6.883562,0.831197,0.555388,-0.025584
36.967886,1.000625,-10.323079,0.773011,0.634393,-0.000000
35.501154,4.351568,2.749387,-0.831197,0.555388,-0.025584
43.448043,2.385096,8.683466,-0.956940,0.290284,0.000000
37.724971,0.000000,-7.008594,0.000000,-1.000000,0.000000
34.103479,0.000000,11.028346,-0.000000,-1.000000,0.000000
41.473347,0.000000,-4.784727,0.000000,-1.000000,0.000000
33.892862,2.817168,10.784285,-0.817051,0.562125,-0.128228
36.044253,3.703068,1.890711,0.995185,-0.098018,0.000000
45.245111,0.899659,-12.804922,0.976376,0.196102,-0.090742
43.012246,1.415702,-3.256785,-0.881921,0.471397,0.000000
43.856490,0.000000,0.179180,0.000000,-1.000000,0.000000
45.118107,2.242707,11.269022,0.976376,0.196102,0.090742
36.928001,1.049225,-11.475806,0.773011,0.634393,-0.000000
43.499623,2.555132,-11.994898,-0.956940,0.290284,0.000000
35.118492,4.547376,-11.490653,-0.542385,0.835807,0.085122
43.421762,2.298459,1.939588,-0.956940,0.290284,0.000000
33.542579,0.000000,15.195088,-0.000000,-1.000000,0.000000
43.471818,2.463473,-1.619183,-0.956940,0.290284,0.000000
36.069754,4.688528,0.000591,-0.555489,0.831348,-0.017098
33.622249,0.326219,-6.040276,-0.976376,0.196102,0.090743
34.939347,3.989996,-8.054077,-0.826524,0.557636,0.076816
32.476910,0.008791,-14.759635,-0.968287,0.198315,0.151962
34.768653,4.173637,-11.150340,-0.817052,0.562125,0.128228
35.685404,2.962693,-15.765394,0.000000,0.000000,-1.000000
43.788065,4.738521,-0.773276,0.555489,0.831348,-0.017098
34.932937,3.499201,-2.706618,-0.831198,0.555388,0.025584
36.891821,0.000000,-15.515703,0.000000,-1.000000,0.000000
34.942656,0.000000,-5.511460,0.000000,-1.000000,0.000000
36.281171,2.131209,8.888918,0.956940,0.290284,0.000000
44.893704,2.427496,-12.982505,0.826524,0.557636,-0.076815
33.085840,0.097340,10.995154,-0.968286,0.198316,-0.151962
34.100746,2.934932,-9.418139,-0.826524,0.557636,0.076816
36.044254,3.265585,-4.692566,0.995185,0.098018,-0.000000
42.863868,0.000000,-13.629376,0.000000,-1.000000,0.000000
37.431799,0.552745,7.594288,0.634392,0.773012,0.000000
42.550364,0.000000,-14.704149,0.000000,-1.000000,0.000000
33.871145,1.498742,5.896111,-0.976376,0.196102,-0.090743
42.641510,0.000000,8.176864,0.000000,-1.000000,0.000000
36.274862,2.152009,11.206014,0.956940,0.290284,0.000000
36.088630,4.153632,-13.201837,0.995185,-0.098018,0.000000
44.071306,3.856432,-11.458137,0.826524,0.557636,-0.076815
35.892569,5.438534,-15.308586,-0.542384,0.835807,0.085121
37.591952,0.421311,15.362289,0.634392,0.773012,0.000000
37.694224,0.000000,-4.509281,0.000000,-1.000000,0.000000
32.767130,0.126163,-13.063555,-0.968287,0.198315,0.151962
43.548893,4.905519,-0.423777,0.555489,0.831348,-0.017098
45.742734,0.990861,7.253459,0.976376,0.196102,0.090742
42.940008,0.000000,5.003012,0.000000,-1.000000,0.000000
43.605451,3.240264,4.735055,-0.995185,0.098018,0.000000
44.330051,4.384380,-0.384202,0.555489,0.831348,-0.017098
33.845165,0.417317,-0.889167,-0.980339,0.195002,0.030175
34.523885,3.027577,-5.537805,-0.826524,0.557636,0.076816
43.561376,4.175900,-5.826388,-0.995185,-0.098018,0.000000
33.987475,1.691691,4.501280,-0.980339,0.195001,-0.030175
35.213507,0.000000,-6.332197,0.000000,-1.000000,0.000000
36.028257,3.540662,10.316328,0.995185,-0.098018,0.000000
33.603319,0.000000,7.820400,-0.000000,-1.000000,0.000000
35.849686,4.546692,-0.253867,-0.555489,0.831348,0.017098
36.244523,2.252024,3.447261,0.956940,0.290284,0.000000
35.399587,0.000000,-8.779732,0.000000,-1.000000,0.000000
35.970218,5.485902,-15.278926,-0.542384,0.835807,0.085121
42.395921,0.696791,-2.149046,-0.634394,0.773010,0.000000
42.710885,1.033004,12.620829,-0.773011,0.634393,0.000000
37.709691,0.000000,-11.943961,0.000000,-1.000000,0.000000
36.036593,3.343369,-14.355215,0.995185,0.098018,-0.000000
36.231404,5.066586,-8.182054,-0.551130,0.832846,0.051221
43.605095,3.236654,15.238511,-0.995185,0.098018,0.000000
35.921246,0.000000,-14.102149,0.000000,-1.000000,0.000000
35.343387,0.000000,4.090566,-0.000000,-1.000000,0.000000
36.306048,4.919465,-3.862462,0.956938,-0.290292,0.000001
45.784442,1.390056,-3.443527,0.980339,0.195001,-0.030175
34.002243,2.420242,-6.741687,-0.826524,0.557636,0.076816
45.196269,0.441607,14.320347,0.976376,0.196102,0.090742
45.636870,1.604298,-6.853437,0.980339,0.195001,-0.030175
35.243104,4.228564,-6.517570,-0.826524,0.557636,0.076816
44.985451,2.545729,11.137004,0.826524,0.557636,0.076815
35.978627,0.000000,12.059400,-0.000000,-1.000000,0.000000
37.620195,0.000000,10.504206,0.000000,-1.000000,0.000000
33.643955,0.074644,5.211780,-0.980339,0.195001,-0.030175
33.914813,1.376707,-4.826425,-0.980339,0.195001,0.030174
34.961061,3.453285,-0.796143,-0.831198,0.555388,0.025584
42.660680,0.971828,4.246596,-0.773011,0.634393,0.000000
44.670256,3.654667,-5.395645,0.831197,0.555388,-0.025584
42.169611,0.511062,15.666681,-0.634394,0.773010,0.000000
45.871501,0.000000,-4.264607,0.000000,-1.000000,0.000000
44.391048,4.184494,-2.965152,0.831197,0.555388,-0.025584
43.906868,0.000000,8.886937,0.000000,-1.000000,0.000000
44.475043,4.160325,-0.760944,0.831198,0.555388,-0.025584
43.564090,2.820327,15.220454,-0.995185,0.098018,0.000000
43.584080,4.717081,7.383603,0.551130,0.832846,0.051220
34.476023,3.043800,-15.765394,0.000000,-0.000000,-1.000000
37.039121,0.000000,12.329187,-0.000000,-1.000000,0.000000
36.153859,2.550902,-12.309723,0.956940,0.290284,-0.000000
34.561320,0.000000,1.038533,-0.000000,-1.000000,0.000000
45.861667,1.487651,-0.303918,0.980339,0.195002,-0.030175
34.698239,0.000000,12.607575,-0.000000,-1.000000,0.000000
43.930992,3.840071,13.086663,0.826524,0.557636,0.076815
44.493252,3.529812,9.289131,0.826524,0.557636,0.076816
41.503655,0.000000,-12.307718,0.000000,-1.000000,0.000000
45.951973,0.908518,1.112621,0.980339,0.195002,0.030175
34.549560,2.972780,-3.734388,-0.831197,0.555388,0.025584
35.947828,4.706675,4.844199,-0.555489,0.831348,-0.017097
43.165416,0.000000,-3.294216,0.000000,-1.000000,0.000000
